category,n,without_geo,with_geo,delta,without_win%,with_win%
LARGE_M,2,1.3440,1.2924,-0.0516,100,100
LARGE_K_SKINNY,3,2.0250,2.0714,+0.0464,100,100
LARGE_M_SKINNY,3,1.5640,1.0355,-0.5285,100,67
LARGE_N_SKINNY,3,1.5040,1.4845,-0.0195,100,100
SMALL,6,1.5070,1.2372,-0.2698,100,83
LARGE_MN,13,1.1060,1.1151,+0.0091,92,100
LARGE_N,14,1.0590,1.3882,+0.3292,71,100
LARGE,18,1.1350,1.1629,+0.0279,83,100
LARGE_MK,18,1.4210,1.3823,-0.0387,94,94
LARGE_K,28,1.8970,1.8725,-0.0245,100,100
VERY_LARGE,49,1.1610,1.1663,+0.0053,98,100
MEDIUM,53,1.0760,1.1083,+0.0323,75,96
LARGE_NK,261,1.3840,1.5961,+0.2121,79,94
