M,N,K,regime,pm_tflops,auto_tflops,rb_tflops,pm_vs_auto,pm_vs_rb,pm_ms,auto_ms,rb_ms
8192,5120,5120,LARGE-llama4_maverick,951.2199550845492,979.5976152530852,1200.778182867125,0.9710313094614828,0.792169585237883,0.45152199268341064,0.4384419918060303,0.3576819896697998
8192,16384,5120,LARGE-llama4_maverick,1004.6956419878843,1037.8038401057993,1287.8884827192214,0.9680978265463541,0.7801107436465232,1.3679660558700562,1.3243249654769897,1.0671650171279907
16384,16384,16384,LARGE-llama3_fp8,989.3835730178935,1018.1892325841826,1292.8911080497237,0.9717089332272942,0.765248957826263,8.890478134155273,8.638957023620605,6.803429126739502
4,128,2880,LARGE_K-gpt_oss_120b,0.15456603775033467,0.09883109928257201,0.10384225284551443,1.563941298562395,1.4884696115008382,0.01907999999821186,0.029839999973773956,0.0284000001847744
32,128,5120,LARGE_K-llama4_maverick,2.0928616234180137,1.1166943255009245,2.1799917571997898,1.8741580176645045,0.9600318976005234,0.020041000097990036,0.03756000101566315,0.01923999935388565
256,256,7168,LARGE_K-deepseek_r1,38.50508664471918,15.26167706945852,40.56667186203361,2.5229918356597314,0.9491803216116462,0.024399999529123306,0.06156099960207939,0.023159999400377274
64,64,4096,LARGE_K_SKINNY-synthetic,1.7924376911320261,0.9822726184877341,0.9383230333718703,1.8247863753868945,1.9102565186862022,0.018719999119639397,0.03415999934077263,0.035760000348091125
64,64,8192,LARGE_K_SKINNY-synthetic,2.701645180556531,1.3876649459880264,3.2326042775308976,1.946900214181704,0.8357488107452733,0.02483999915421009,0.048360999673604965,0.020759999752044678
32,64,16384,LARGE_K_SKINNY-synthetic,1.8295763568675576,0.8688356552484867,3.315655414961179,2.1057795519962856,0.551799305986982,0.03668000176548958,0.0772399976849556,0.020239999517798424
32768,128,2880,LARGE_M-gpt_oss_120b,458.2547695420708,330.76657554803506,464.2427222375504,1.3854325177288702,0.9871016767551702,0.052719999104738235,0.07304000109434128,0.05203999951481819
32768,2880,2880,LARGE_M-gpt_oss_120b,911.9842140509669,898.4199703500032,1119.9513062194783,1.0150978875677479,0.8143070229807332,0.5960429906845093,0.6050419807434082,0.4853619933128357
4096,128,2880,LARGE_MK-gpt_oss_120b,122.16419366516637,77.99124415104481,112.85122559773983,1.5663834446411995,1.0825242970831594,0.024720000103116035,0.0387209989130497,0.026760000735521317
16384,128,4096,LARGE_MK-qwen3_235b_a22b,360.61099876087343,255.49693872705265,398.04149031523696,1.4114102523401038,0.9059633418498164,0.047641001641750336,0.06724099814891815,0.043161001056432724
32768,2112,7168,LARGE_MK-deepseek_r1,916.0292123922455,879.9250305291324,1017.2388567483965,1.0410309749245368,0.9005055266177429,1.0830849409103394,1.127524971961975,0.9753239750862122
4096,32768,512,LARGE_MN-deepseek_r1,629.6423093864171,616.6472282216596,843.1837506820732,1.0210737688746836,0.7467438845649992,0.21828100085258484,0.2228810042142868,0.16300000250339508
8192,24576,1536,LARGE_MN-deepseek_r1,893.5399595904731,903.7240233691424,1121.4786088505052,0.9887310024793826,0.7967516745650057,0.6921629905700684,0.6843630075454712,0.5514820218086243
32768,24576,1536,LARGE_MN-deepseek_r1,927.7041163078477,918.5553683475997,1137.4206101516327,1.0099599308604617,0.8156209831507915,2.666692018508911,2.6932520866394043,2.1750099658966064
4096,64,64,LARGE_M_SKINNY-synthetic,2.1787177233909674,1.451316319735458,2.3300070839601412,1.501201146685995,0.9350691413727212,0.015401000156998634,0.02311999909579754,0.014400999993085861
