M,N,K,regime,pm_tflops,auto_tflops,rb_tflops,pm_vs_auto,pm_vs_rb,pm_ms,auto_ms,rb_ms
256,256,256,square-tiny,1.7586180295149192,1.2035305616765024,2.3431865799385942,1.461215930458124,0.7505241130055489,0.01907999999821186,0.027879999950528145,0.01432000007480383
512,512,512,square-small,16.861523458372265,10.340348752021008,18.538359757791284,1.6306532654497463,0.9095477528040592,0.01592000015079975,0.025960000231862068,0.014480000361800194
1024,1024,1024,square-1k,124.27567888803172,79.53642934430732,123.7029755441823,1.5625001010549706,1.004629665061249,0.01727999933063984,0.027000000700354576,0.01735999993979931
2048,2048,2048,square-2k,517.4659473595589,385.53599994611056,518.0901280290326,1.342198776331884,0.998795227633755,0.03319999948143959,0.0445609986782074,0.033160001039505005
3072,3072,3072,square-3k,442.34099627335786,598.2404262020524,953.6522618144047,0.7394033851599986,0.46383887920715083,0.1310800015926361,0.09692099690437317,0.06080000102519989
4096,4096,4096,square-4k,982.541971732394,901.1149552625927,1294.139912146384,1.0903625181163181,0.7592239158305596,0.13988099992275238,0.15252099931240082,0.10620100051164627
4,128,2880,moe-gating-M4,0.14657653735547166,0.09562645871703973,0.16493036919847298,1.5328031522028234,0.8887176938231746,0.02012000046670437,0.03084000013768673,0.0178810004144907
32,128,2880,moe-gating-M32,1.4212626728015227,0.756184635898207,1.32247534599934,1.8795180506587872,1.0746988041032504,0.016599999740719795,0.031199999153614044,0.017839999869465828
4,5120,2880,input-proj-M4,4.998508286473677,2.9432335538562193,5.81680478467414,1.6983050087631137,0.859321994034169,0.023600000888109207,0.0400799997150898,0.02027999982237816
16,5120,2880,input-proj-M16,20.164923623952184,11.749189891931719,22.29958509837957,1.7162820423729495,0.9042734891698723,0.023399999365210533,0.040160998702049255,0.021159999072551727
32,5120,2880,input-proj-M32,39.92040722271255,23.68770988438887,43.77172489830232,1.6852793038056273,0.9120135730420086,0.023639999330043793,0.03984000161290169,0.021560000255703926
128,5120,2880,input-proj-M128,149.0866404653143,88.69533840300426,141.6994604074091,1.6808847358799242,1.0521327324512446,0.02531999908387661,0.04255999997258186,0.026639999821782112
4,2880,4096,output-proj-M4,4.183148858363515,2.046223802227391,4.956504281434542,2.0443261650118627,0.8439716019276395,0.0225600004196167,0.04611999914050102,0.019039999693632126
32,2880,4096,output-proj-M32,32.767999503241654,16.3273085970239,35.951177627551026,2.006944335529649,0.9114583072274673,0.02304000034928322,0.04623999819159508,0.020999999716877937
128,2880,4096,output-proj-M128,104.56713531971056,61.73137299153131,119.64733912977415,1.6939058739881863,0.8739612270548949,0.028880000114440918,0.048920001834630966,0.02524000033736229
4,640,2880,misc-skinny-N640,0.8553131809674409,0.46545455892333465,0.7343426235530364,1.8375868590607578,1.164733128017412,0.017240000888705254,0.03167999908328056,0.020080000162124634
4096,128,2880,wide-M4096,117.23209677752841,73.5126278472955,126.03918581365437,1.594720529118472,0.9301241992379496,0.025760000571608543,0.04108000174164772,0.023959999904036522
4096,5120,2880,input-proj-M4k,653.230068697665,803.3729092100467,1048.5669306339992,0.8131094056183491,0.6229741274624214,0.184920996427536,0.15036100149154663,0.11520099639892578
8192,5120,2880,input-proj-M8k,866.9089358062154,901.7281577464772,1168.6859035658877,0.961386121037543,0.7417809465837722,0.27868199348449707,0.26792100071907043,0.2067209929227829
4096,2880,4096,output-proj-M4k,574.5314501590583,739.2596604783603,1159.2701833621306,0.7771713795221701,0.4955975392145381,0.1682009994983673,0.13072100281715393,0.08336000144481659
8192,2880,4096,output-proj-M8k,481.256388964492,849.6249556826692,1229.4754200337995,0.5664339138647416,0.39143229797246515,0.40160199999809265,0.22748099267482758,0.15719999372959137
16384,5120,2880,large-prefill-M16k,1004.9538505105972,1032.2631712120904,1371.1154266425824,0.9735442264500958,0.7329462064119603,0.4808019995689392,0.4680820107460022,0.352402001619339
4096,4096,4096,square-4k-prefill,981.4194390519566,903.4903940652758,1272.0999362740984,1.0862533187940573,0.7714955492620125,0.14004099369049072,0.15211999416351318,0.10804100334644318
8192,8192,8192,large-square-8k,1063.1055626953146,1063.1877905887845,1462.421893181196,0.9999226591066999,0.7269486101461108,1.0342450141906738,1.0341650247573853,0.7518429756164551
