M,N,K,regime,pm_tflops,auto_tflops,rb_tflops,pm_vs_auto,pm_vs_rb,pm_ms,auto_ms,rb_ms
256,256,256,square-tiny,1.8396070992396736,1.4217979125969569,2.231012770510907,1.2938597552725166,0.8245614384441194,0.018239999189972878,0.023600000888109207,0.015039999969303608
512,512,512,square-small,18.58971294572632,12.20105697562813,16.65232376838722,1.5236149608070566,1.1163434727960935,0.014440000057220459,0.022001000121235847,0.016119999811053276
1024,1024,1024,square-1k,104.24171552920758,91.14568876101467,111.3840086121107,1.143682350160641,0.9358768536713757,0.020601000636816025,0.02356100082397461,0.019279999658465385
2048,2048,2048,square-2k,533.5362905073115,415.77611928676987,501.748516621539,1.2832297617827344,1.0633539967388672,0.03220000118017197,0.04131999984383583,0.0342399999499321
3072,3072,3072,square-3k,604.2252611108825,617.8755302722828,860.7787931979623,0.9779077362792066,0.7019518439413068,0.09596099704504013,0.09384100139141083,0.06735999882221222
4096,4096,4096,square-4k,974.7443327349733,925.390251202244,1174.681899453269,1.0533332628786718,0.8297942900019551,0.14100000262260437,0.14851999282836914,0.1170009970664978
4,128,2880,moe-gating-M4,0.19556498318554436,0.10608345575071536,0.10922666383342985,1.8435012491024134,1.7904509423063588,0.015080000273883343,0.027799999341368675,0.027000000700354576
32,128,2880,moe-gating-M32,1.516257049573656,0.8511168648524323,0.8511168648524323,1.7814910174956369,1.7814910174956369,0.015560000203549862,0.027720000594854355,0.027720000594854355
4,5120,2880,input-proj-M4,5.275706439795295,3.262300914854327,5.481635700182128,1.6171734544085958,0.9624328810504515,0.022360000759363174,0.036159999668598175,0.02151999995112419
16,5120,2880,input-proj-M16,20.878724994677075,12.94893525803209,19.498314155240422,1.6123893261205564,1.0707964200620723,0.022600000724196434,0.03643999993801117,0.02419999986886978
32,5120,2880,input-proj-M32,41.75744998935415,25.86947483305791,39.25617220690057,1.6141591686273207,1.0637168027812425,0.022600000724196434,0.036479998379945755,0.02404000051319599
128,5120,2880,input-proj-M128,109.48008716383244,96.99058532985681,125.32780775305154,1.1287702491071672,0.873549846013059,0.03448000177741051,0.038920000195503235,0.03012000024318695
4,2880,4096,output-proj-M4,4.459917019675914,2.2257510087901076,4.766254571280992,2.00378074729045,0.9357278242226272,0.021159999072551727,0.042399998754262924,0.01979999989271164
32,2880,4096,output-proj-M32,34.50524183597423,17.50828458171344,31.24895420593876,1.9707951213000785,1.104204691413853,0.021880000829696655,0.04312099888920784,0.024159999564290047
128,2880,4096,output-proj-M128,111.18920742894883,66.45904291082654,109.09644962611029,1.6730485808852282,1.019182638940229,0.027160000056028366,0.04543999955058098,0.027681000530719757
4,640,2880,misc-skinny-N640,0.9101660020178789,0.5155804223741457,0.5389473740098366,1.7653230466485612,1.6887845565442294,0.016201000660657883,0.028599999845027924,0.02735999971628189
4096,128,2880,wide-M4096,129.93842121757882,80.74595979581916,120.79595340000002,1.6092250503449552,1.0756852159385233,0.02324100024998188,0.03739999979734421,0.02500000037252903
4096,5120,2880,input-proj-M4k,728.7357074545355,831.006597353944,966.9787606199168,0.8769313141134437,0.753621213962707,0.16576099395751953,0.1453610062599182,0.12492100149393082
8192,5120,2880,input-proj-M8k,870.7866348994313,915.3948233076154,1130.201658418754,0.9512689090298759,0.7704701443437396,0.27744099497795105,0.26392099261283875,0.21376000344753265
4096,2880,4096,output-proj-M4k,738.5872942678038,766.708990731361,997.4789894590931,0.9633215511967167,0.7404539865730109,0.130840003490448,0.1260409951210022,0.09688100218772888
8192,2880,4096,output-proj-M8k,877.0768569989314,858.0743455616404,1056.1395086482128,1.0221455303209808,0.83045549363221,0.22036099433898926,0.22524100542068481,0.18299999833106995
16384,5120,2880,large-prefill-M16k,1026.3865945664352,1025.5152785299,1223.370969349758,1.0008496373040725,0.8389823040446813,0.4707620143890381,0.47116199135780334,0.39496099948883057
4096,4096,4096,square-4k-prefill,1016.8611597697284,926.8880385772844,1165.912686718609,1.0970701071194608,0.8721589286686835,0.13515999913215637,0.14827999472618103,0.11788100004196167
8192,8192,8192,large-square-8k,1094.0795798817019,1062.408056611726,1289.1690250540273,1.0298110721891398,0.8486703904756403,1.0049649477005005,1.034924030303955,0.8528839945793152
