M,N,K,regime,pm_tflops,auto_tflops,rb_tflops,pm_vs_auto,pm_vs_rb,pm_ms,auto_ms,rb_ms
256,256,256,square-tiny,1.9284156050997492,1.414605062647697,2.5040621664067744,1.3632183681644403,0.7701149080763222,0.017400000244379044,0.023719999939203262,0.013399999588727951
512,512,512,square-small,18.436501048710902,12.048269936728241,18.850803968880207,1.5302197863702092,0.9780220026236941,0.014560000039637089,0.022280000150203705,0.014240000396966934
1024,1024,1024,square-1k,104.04474685415552,91.61228856377885,122.57327250891367,1.1357073214225122,0.8488371463410938,0.020640000700950623,0.023440999910235405,0.0175199992954731
2048,2048,2048,square-2k,533.5362905073115,418.61280122202845,521.8672416530227,1.2745341015606655,1.0223601865051481,0.03220000118017197,0.041039999574422836,0.032919999212026596
3072,3072,3072,square-3k,565.3476917871599,614.2166982418854,886.5758595135109,0.920436864392312,0.6376754856571236,0.10255999863147736,0.09440000355243683,0.06539999693632126
4096,4096,4096,square-4k,999.1128301857016,905.8663788388775,1172.2872503753285,1.102936209495208,0.8522764619898561,0.13756099343299866,0.15172100067138672,0.11723999679088593
4,128,2880,moe-gating-M4,0.189532131196707,0.10562750619819451,0.1095512626303663,1.7943444659299044,1.7300771040512952,0.015560000203549862,0.02792000025510788,0.026920000091195107
32,128,2880,moe-gating-M32,1.5085012902128025,0.8378181752744785,0.8623157984157386,1.8005115366691595,1.7493606089372908,0.015639999881386757,0.02816000021994114,0.02735999971628189
4,5120,2880,input-proj-M4,5.201269962653274,3.23014233933628,5.553898388311849,1.6102293385999875,0.936507944329576,0.022679999470710754,0.03652000054717064,0.021239999681711197
16,5120,2880,input-proj-M16,20.768450909633295,12.89232746153589,20.303752143131163,1.6109155597851301,1.0228873344801612,0.02271999977529049,0.03660000115633011,0.023240000009536743
32,5120,2880,input-proj-M32,42.05331360759208,25.616678040019,39.45311102853995,1.6416380586856487,1.0659061481151935,0.022440999746322632,0.03683999925851822,0.023919999599456787
128,5120,2880,input-proj-M128,107.85353096938775,96.10166743328753,124.66557628825154,1.1222857401954882,0.8651428419984117,0.03500000014901161,0.0392800010740757,0.03027999959886074
4,2880,4096,output-proj-M4,4.352944788628695,2.1926542800728512,4.728048274231962,1.9852399113662678,0.9206642014110569,0.02167999930679798,0.04303999990224838,0.01995999924838543
32,2880,4096,output-proj-M32,33.88575919704818,17.41137675610585,30.991122555748966,1.946184938256825,1.0934021230141677,0.022280000150203705,0.04336100071668625,0.02436099946498871
128,2880,4096,output-proj-M128,70.42510259961415,65.93665615072176,108.62945868873253,1.0680720969324322,0.6483057491928653,0.04288100078701973,0.04580000042915344,0.027799999341368675
4,640,2880,misc-skinny-N640,0.9057494321091208,0.5077511155595043,0.5413215726842685,1.783845282370383,1.6732187997196424,0.016279999166727066,0.029040999710559845,0.027240000665187836
4096,128,2880,wide-M4096,127.74530311268015,80.22897584521111,118.70671699225701,1.5922589284841944,1.0761421623766472,0.023639999330043793,0.037641000002622604,0.025439999997615814
4096,5120,2880,input-proj-M4k,693.4286109098024,851.875557994036,978.5723706622726,0.8140022382408314,0.7086124968360875,0.17420099675655365,0.14180000126361847,0.12344100326299667
8192,5120,2880,input-proj-M8k,899.3080118954233,903.3465561438468,1118.8902922637358,0.9955293522503003,0.8037499459182417,0.26864200830459595,0.2674410045146942,0.21592099964618683
4096,2880,4096,output-proj-M4k,729.6589785641049,769.8852058738875,997.8910186753466,0.9477503568027104,0.7312010679610014,0.13244099915027618,0.1255210041999817,0.096841000020504
8192,2880,4096,output-proj-M8k,863.1326561312246,869.0317683315978,1036.2025446902255,0.9932118566715937,0.8329767771312119,0.223921000957489,0.2224009931087494,0.1865209937095642
16384,5120,2880,large-prefill-M16k,1022.8233882720654,1014.7467341121935,1215.3702303574953,1.0079592807627393,0.8415735079928746,0.47240200638771057,0.47616198658943176,0.3975610136985779
4096,4096,4096,square-4k-prefill,980.2993641920616,912.8456175235907,1153.388699116783,1.0738939261728204,0.8499297460975073,0.14020100235939026,0.15056100487709045,0.11916100233793259
8192,8192,8192,large-square-8k,1060.930843494544,1060.890939548768,1289.834448581624,1.00003761361728,0.8225325697117211,1.036365032196045,1.036404013633728,0.8524439930915833
