M,N,K,regime,pm_tflops,auto_tflops,rb_tflops,pm_vs_auto,pm_vs_rb,pm_ms,auto_ms,rb_ms
8192,7168,16384,LARGE-deepseek_r1,1145.0704111237208,921.0778008501209,1257.2735966327402,1.2431853314311374,0.9107567471316309,1.680372953414917,2.089015007019043,1.5304110050201416
16384,7168,16384,LARGE-deepseek_r1,1213.7023302156701,1028.265207314205,1285.805355111875,1.180339781587885,0.9439238414978203,3.170703887939453,3.7425079345703125,2.992902994155884
8192,8192,8192,LARGE-llama3_fp8,1262.34530366813,1068.7238340198253,1323.7463361785067,1.1811707229547133,0.9536157110828093,0.8710070252418518,1.0288079977035522,0.8306059837341309
8192,10240,8192,LARGE-llama3_fp8,1239.8329247486822,1073.699849640912,1322.333292204225,1.1547295318736719,0.9376100050252677,1.1085280179977417,1.2800500392913818,1.0393669605255127
16384,8192,8192,LARGE-llama3_fp8,1262.2301634229643,1072.017048004595,1309.8366621395041,1.1774347859228766,0.9636546295484059,1.7421729564666748,2.051295042037964,1.6788530349731445
16384,10240,8192,LARGE-llama3_fp8,1238.5139663041612,1076.2225662242563,1302.8278765915916,1.1507972469386853,0.9506351441790715,2.219417095184326,2.5540990829467773,2.109855890274048
8192,16384,16384,LARGE-llama3_fp8,1169.584946839769,1031.061505246014,1285.8033321434627,1.1343503184717414,0.9096141825126902,3.760348081588745,4.265552043914795,3.4204659461975098
16384,16384,16384,LARGE-llama3_fp8,1173.5486016440054,1028.2701039270992,1291.8919349100386,1.1412843737866816,0.9083953308569311,7.49529504776001,8.5542631149292,6.808691024780273
8192,5120,5120,LARGE-llama4_maverick,986.7975342922625,996.1353749481136,1199.835554731053,0.9906259320864521,0.8224439844287298,0.43524301052093506,0.4311630129814148,0.3579629957675934
8192,7168,5120,LARGE-llama4_maverick,1132.0334815556914,993.2775151863198,1225.1257987082715,1.139695064317794,0.9240140749213401,0.5311639904975891,0.605364978313446,0.4908030033111572
8192,5120,8192,LARGE-llama4_maverick,978.4569545586951,998.3580132230801,1224.9374124934557,0.9800662103165408,0.7987811822703411,0.7023249864578247,0.6883249878883362,0.5610039830207825
16384,5120,5120,LARGE-llama4_maverick,1225.3742573352802,1016.504989877678,1284.37056411574,1.2054778574994862,0.9540659771963261,0.7010049819946289,0.8450459837913513,0.6688050031661987
16384,7168,5120,LARGE-llama4_maverick,1226.9244706485772,1012.0356209940209,1293.1000527734707,1.2123332866915224,0.9488240821095332,0.9801669716835022,1.1882890462875366,0.9300060272216797
8192,5120,16384,LARGE-llama4_maverick,917.4762676234059,972.0350214480657,1191.7957362923792,0.9438716171528654,0.7698267745760122,1.4980109930038452,1.413930058479309,1.1532089710235596
8192,16384,5120,LARGE-llama4_maverick,1190.3104656752178,1043.853340125192,1289.4314166546683,1.1403043127997854,0.9231281713015708,1.154647946357727,1.3166500329971313,1.0658880472183228
16384,5120,8192,LARGE-llama4_maverick,1267.1763318505155,1054.4567546411574,1302.9759993187974,1.201733808686871,0.9725246915622404,1.0846079587936401,1.3034100532531738,1.0548080205917358
16384,5120,16384,LARGE-llama4_maverick,1229.5833194939944,1038.8824437610022,1288.7786181506444,1.1835634790810494,0.9540686834628018,2.235537052154541,2.645900011062622,2.1328558921813965
16384,16384,5120,LARGE-llama4_maverick,1192.478644704721,1053.1320797073818,1283.2673304717905,1.1323163235479994,0.9292519309022765,2.3050971031188965,2.6100990772247314,2.1420159339904785
4,256,7168,LARGE_K-deepseek_r1,0.6553600233677465,0.32856007638922846,0.28449735467933146,1.9946428993137153,2.30357158893948,0.02239999920129776,0.044679999351501465,0.051600001752376556
8,256,7168,LARGE_K-deepseek_r1,1.3154178943445218,0.6571201527784569,1.5785014995591975,2.0017920448530284,0.8333333194246931,0.02232000045478344,0.044679999351501465,0.01860000006854534
16,256,7168,LARGE_K-deepseek_r1,2.6308357886890437,1.3201496494514144,2.9418967039665542,1.9928314867805192,0.894265181079231,0.02232000045478344,0.04447999969124794,0.01995999924838543
32,256,7168,LARGE_K-deepseek_r1,5.233301248944792,2.6308357886890437,5.943345872868146,1.9892162298554437,0.8805311622255126,0.022440999746322632,0.04464000090956688,0.019759999588131905
64,256,7168,LARGE_K-deepseek_r1,10.392506231251174,5.228873950028113,11.838164347462488,1.9875228071228028,0.8778815639165213,0.022600999101996422,0.044920001178979874,0.01984100043773651
128,256,7168,LARGE_K-deepseek_r1,20.6026944048716,10.089174588782612,22.714668633404905,2.04205945923249,0.9070215699546957,0.022801000624895096,0.046560999006032944,0.020680999383330345
256,256,7168,LARGE_K-deepseek_r1,39.01678007030832,15.075803506767018,42.0933726190247,2.5880398383273575,0.9269102864110759,0.024080000817775726,0.06232000142335892,0.02232000045478344
4,128,2880,LARGE_K-gpt_oss_120b,0.1920000048503281,0.10685217514759202,0.10297206650120776,1.7968750246321488,1.8645833901767537,0.015359999611973763,0.02759999968111515,0.02864000014960766
8,128,2880,LARGE_K-gpt_oss_120b,0.3850026049669378,0.2124649743727691,0.207970098900269,1.8120756426019282,1.8512401879058769,0.015320000238716602,0.027760999277234077,0.0283610001206398
16,128,2880,LARGE_K-gpt_oss_120b,0.7699549864984981,0.4286511772459044,0.4189090876372393,1.7962273927380303,1.8380001991392758,0.015320999547839165,0.02751999907195568,0.02816000021994114
32,128,2880,LARGE_K-gpt_oss_120b,1.516257049573656,0.8573023544918088,0.8401752118868825,1.7686374493540986,1.8046914835399812,0.015560000203549862,0.02751999907195568,0.028080999851226807
64,128,2880,LARGE_K-gpt_oss_120b,2.9199207711856907,1.6521680938115142,2.5098893979087684,1.7673266915895343,1.163366311526938,0.01616000011563301,0.02855999954044819,0.018799999728798866
128,128,2880,LARGE_K-gpt_oss_120b,5.754029519752838,3.2813575320856554,4.935765612211907,1.753551529660815,1.1657825698846822,0.016401000320911407,0.028759999200701714,0.019120000302791595
256,128,2880,LARGE_K-gpt_oss_120b,11.155063622302706,6.4994381351224755,8.24928702661386,1.7163119934970348,1.3522457863708979,0.016920000314712524,0.029039999470114708,0.02287999913096428
4,128,5120,LARGE_K-llama4_maverick,0.283705640681075,0.14677716313010336,0.12938992705742802,1.932900422864817,2.192640858010191,0.018479999154806137,0.03571999818086624,0.04052000120282173
