M,N,K,regime,auto_tflops,rb_tflops,pm_tflops,g_tri,g_rb,auto_us,rb_us,pm_us
8192,24576,1536,LARGE_MN,917.4,1125.9,908.8,0.99,0.81,674.164,549.323,680.564
32768,24576,1536,LARGE_MN,925.2,1139.2,925.6,1.0,0.81,2674.014,2171.651,2672.654
32768,2880,2880,LARGE_M,904.0,1114.4,938.1,1.04,0.84,601.283,487.762,579.443
16384,128,4096,LARGE_MK,347.2,407.9,452.1,1.3,1.11,49.48,42.12,38.0
256,24576,1536,LARGE_N,616.3,611.6,590.7,0.96,0.97,31.36,31.6,32.721
16,28672,4096,LARGE_NK,107.1,83.4,107.0,1.0,1.28,35.08,45.08,35.12
4096,28672,4096,VERY_LARGE,1003.0,1219.5,1009.3,1.01,0.83,959.164,788.885,953.205
32768,8192,8192,VERY_LARGE,1076.5,1309.7,1083.2,1.01,0.83,4085.381,3357.937,4060.101
16384,16384,16384,LARGE,1020.1,1292.7,989.3,0.97,0.77,8622.683,6804.473,8890.963
8192,5120,2880,MEDIUM,949.9,1132.3,937.6,0.99,0.83,254.322,213.361,257.682
4096,4096,1536,MEDIUM,883.7,943.3,857.3,0.97,0.91,58.321,54.64,60.121
