M,N,K,regime,auto_tflops,rb_tflops,pm_tflops,gluon_tflops,g_tri,g_rb,auto_us,rb_us,pm_us,gluon_us
256,256,256,square-256,9.4,7.1,9.8,12.5,1.33,1.76,3.56,4.72,3.44,2.68
512,512,512,square-512,56.4,42.7,68.5,70.6,1.25,1.65,4.76,6.28,3.92,3.8
1024,1024,1024,square-1k,278.2,220.0,308.5,177.2,0.64,0.81,7.72,9.76,6.96,12.12
2048,2048,2048,square-2k,588.4,622.5,646.8,652.7,1.11,1.05,29.2,27.6,26.56,26.32
4,128,2880,moe-gating-M4,0.2,0.2,0.3,0.3,1.5,1.5,12.201,19.32,8.56,10.2
32,128,2880,moe-gating-M32,1.9,1.3,3.6,2.3,1.21,1.77,12.24,18.64,6.64,10.04
4,5120,2880,input-proj-M4,6.0,16.3,9.8,6.0,1.0,0.37,19.76,7.24,12.0,19.56
16,5120,2880,input-proj-M16,23.8,32.2,38.2,24.8,1.04,0.77,19.84,14.64,12.36,19.0
32,5120,2880,input-proj-M32,47.6,65.0,77.9,7.0,0.15,0.11,19.841,14.52,12.12,134.0
128,5120,2880,input-proj-M128,163.8,180.1,184.3,101.8,0.62,0.57,23.041,20.96,20.48,37.081
4,2880,4096,output-proj-M4,3.6,13.7,8.1,7.7,2.14,0.56,26.12,6.88,11.72,12.28
32,2880,4096,output-proj-M32,28.7,49.4,63.1,45.7,1.59,0.93,26.28,15.28,11.96,16.52
128,2880,4096,output-proj-M128,105.9,163.4,151.3,71.9,0.68,0.44,28.52,18.481,19.96,42.0
4,640,2880,misc-skinny-N640,1.2,0.8,1.6,0.8,0.67,1.0,12.68,18.72,9.08,17.721
4096,5120,2880,input-proj-M4k,922.7,992.1,837.5,897.4,0.97,0.9,130.921,121.76,144.241,134.601
8192,5120,2880,input-proj-M8k,958.1,1138.1,947.6,1032.4,1.08,0.91,252.161,212.28,254.961,234.001
4096,2880,4096,output-proj-M4k,854.3,1007.5,806.9,814.5,0.95,0.81,113.121,95.92,119.76,118.64
