M,N,K,regime,auto_tflops,rb_tflops,pm_tflops,gluon_tflops,g_tri,g_rb,auto_us,rb_us,pm_us,gluon_us
8192,24576,1536,LARGE_MN,918.8,1127.9,909.4,982.1,1.07,0.87,673.124,548.363,680.124,629.724
32768,24576,1536,LARGE_MN,923.2,1135.9,926.2,992.7,1.08,0.87,2679.773,2177.971,2671.093,2492.172
32768,2880,2880,LARGE_M,904.4,1119.8,937.2,1039.0,1.15,0.93,601.042,485.442,580.003,523.202
16384,128,4096,LARGE_MK,347.8,424.4,454.5,316.3,0.91,0.75,49.4,40.48,37.8,54.32
256,24576,1536,LARGE_N,620.3,595.1,585.7,644.2,1.04,1.08,31.16,32.48,33.0,30.0
16,28672,4096,LARGE_NK,113.7,83.2,107.3,81.1,0.71,0.97,33.041,45.16,35.04,46.32
4096,28672,4096,VERY_LARGE,1003.6,1222.5,1007.6,1148.5,1.14,0.94,958.643,787.002,954.803,837.643
32768,8192,8192,VERY_LARGE,1076.7,1308.4,1087.1,1176.3,1.09,0.9,4084.693,3361.492,4045.614,3738.814
16384,16384,16384,LARGE,1019.2,1292.4,988.9,1136.9,1.12,0.88,8630.553,6805.947,8894.716,7736.871
8192,5120,2880,MEDIUM,956.3,1130.8,946.7,1032.1,1.08,0.91,252.641,213.641,255.201,234.081
4096,4096,1536,MEDIUM,877.7,947.4,865.3,910.6,1.04,0.96,58.72,54.401,59.56,56.6
