cat,M,N,K,best_bm,best_bn,best_bk,best_tf,model_bm,model_bn,model_bk,model_tf,pm_over_best,best_num_waves,best_wave_eff,best_tiles,best_is_cb,best_pad_n_frac,num_cus
LARGE,8192,5120,5120,256,256,32,1130,256,128,32,961,0.851,3,0.833,640,True,0.000,256
LARGE,16384,7168,5120,256,256,32,1225,256,256,32,1196,0.976,7,1.000,1792,True,0.000,256
LARGE,16384,8192,8192,256,256,32,1310,256,256,32,1299,0.992,8,1.000,2048,True,0.000,256
LARGE,16384,16384,16384,256,256,32,1256,256,256,32,1255,0.999,16,1.000,4096,True,0.000,256
LARGE_K,4,128,2880,64,64,64,0,32,32,256,0,1.260,1,0.008,2,False,0.000,256
LARGE_K,16,128,5120,128,64,64,1,32,32,256,1,1.695,1,0.008,2,False,0.000,256
LARGE_K,128,128,2880,64,64,64,3,32,32,256,3,1.113,1,0.016,4,False,0.000,256
LARGE_K,256,256,7168,64,64,64,21,32,32,256,26,1.254,1,0.062,16,False,0.000,256
LARGE_K_SKINNY,64,64,4096,64,64,64,1,32,32,256,1,1.241,1,0.004,1,False,0.000,256
LARGE_K_SKINNY,64,64,8192,64,64,64,1,32,32,256,2,1.756,1,0.004,1,False,0.000,256
LARGE_K_SKINNY,32,64,16384,64,64,64,1,32,32,256,2,2.368,1,0.004,1,False,0.000,256
LARGE_M,32768,128,2880,128,128,64,385,64,128,64,525,1.362,1,1.000,256,False,0.000,256
LARGE_M,32768,2880,2880,256,256,32,1041,256,256,32,981,0.942,6,1.000,1536,True,0.067,256
LARGE_MK,4096,128,2880,64,64,64,65,32,64,128,68,1.038,1,0.500,128,False,0.000,256
LARGE_MK,8192,128,5120,64,64,64,186,32,128,128,251,1.349,1,1.000,256,False,0.000,256
LARGE_MK,32768,128,4096,128,128,64,430,64,128,64,497,1.155,1,1.000,256,False,0.000,256
LARGE_MK,32768,2112,7168,256,256,32,1017,128,256,32,900,0.885,5,0.900,1152,True,0.091,256
LARGE_MN,4096,32768,512,256,256,32,721,256,256,32,651,0.904,8,1.000,2048,True,0.000,256
LARGE_MN,32768,4096,1536,256,256,32,1012,256,256,32,916,0.906,8,1.000,2048,True,0.000,256
LARGE_MN,32768,5120,2880,256,256,32,1159,256,256,32,1109,0.957,10,1.000,2560,True,0.000,256
LARGE_MN,32768,24576,1536,256,256,32,1057,256,256,32,1049,0.993,48,1.000,12288,True,0.000,256
LARGE_M_SKINNY,4096,64,64,128,128,32,1,32,32,128,1,0.980,1,0.125,32,False,1.000,256
LARGE_M_SKINNY,8192,64,64,256,256,32,1,32,64,128,1,0.999,1,0.125,32,True,3.000,256
LARGE_M_SKINNY,16384,64,32,128,256,32,2,32,64,128,2,1.517,1,0.500,128,True,3.000,256
LARGE_N,4,32768,512,256,128,64,3,32,32,128,4,1.403,1,1.000,256,True,0.000,256
LARGE_N,8,24576,1536,64,128,64,14,32,32,128,14,1.014,1,0.750,192,False,0.000,256
LARGE_N,32,24576,1536,64,128,64,55,32,32,128,56,1.021,1,0.750,192,False,0.000,256
LARGE_N,256,24576,1536,128,256,64,336,128,256,32,392,1.167,1,0.750,192,True,0.000,256
LARGE_NK,1,512,128,256,128,64,0,32,32,256,0,0.877,1,0.016,4,False,0.000,256
LARGE_NK,16,5120,8192,128,64,64,27,32,32,256,34,1.264,1,0.312,80,True,0.000,256
LARGE_NK,128,4096,8192,64,64,64,158,32,64,256,241,1.524,1,0.500,128,True,0.000,256
LARGE_NK,4096,16384,53248,256,256,32,1301,256,256,32,1302,1.001,4,1.000,1024,True,0.000,256
LARGE_N_SKINNY,64,4096,64,256,128,64,1,32,32,32,2,2.776,1,0.125,32,True,0.000,256
LARGE_N_SKINNY,64,8192,64,128,64,64,5,32,64,128,5,0.986,1,0.500,128,True,0.000,256
LARGE_N_SKINNY,32,16384,64,256,64,64,1,32,32,128,1,0.989,1,1.000,256,True,0.000,256
MEDIUM,4096,4096,1536,256,256,32,628,256,256,32,839,1.337,1,1.000,256,True,0.000,256
MEDIUM,8192,5120,2880,128,256,32,1037,256,128,32,879,0.847,5,1.000,1280,True,0.000,256
MEDIUM,16384,2112,7168,128,256,64,941,128,256,32,838,0.890,5,0.900,1152,True,0.091,256
MEDIUM,4096,16384,16384,256,256,32,1260,256,256,32,1253,0.994,4,1.000,1024,True,0.000,256
SMALL,64,512,128,128,128,64,0,32,32,128,0,0.998,1,0.016,4,False,0.000,256
SMALL,64,128,512,256,256,32,0,32,32,256,0,0.958,1,0.004,1,True,1.000,256
SMALL,128,128,512,256,256,32,0,32,32,256,0,0.972,1,0.004,1,True,1.000,256
SMALL,256,128,512,256,128,64,1,32,32,128,1,1.499,1,0.004,1,False,0.000,256
VERY_LARGE,4096,28672,4096,256,256,32,1198,256,256,32,1161,0.969,7,1.000,1792,True,0.000,256
VERY_LARGE,32768,5120,8192,256,256,32,1274,256,256,32,1264,0.992,10,1.000,2560,True,0.000,256
VERY_LARGE,16384,8192,28672,256,256,32,1321,256,256,32,1321,1.000,8,1.000,2048,True,0.000,256
VERY_LARGE,16384,16384,53248,256,256,32,1299,256,256,32,1299,1.000,16,1.000,4096,True,0.000,256
