speedup,M,N,K,pm_cfg
1.5274,1,512,128,BM32BN32BK256W8S3
1.4439,1,128,512,BM32BN32BK256W8S3
1.6515,4,512,128,BM32BN32BK256W8S3
1.4973,4,128,512,BM32BN32BK256W8S3
1.6489,8,512,128,BM32BN32BK256W8S3
1.4637,8,128,512,BM32BN32BK256W8S3
1.6544,16,512,128,BM32BN32BK256W8S3
1.3984,16,128,512,BM32BN32BK256W8S3
1.6106,32,512,128,BM32BN32BK256W8S3
1.5400,32,128,512,BM32BN32BK256W8S3
1.5957,1,7168,2048,BM32BN32BK256W8S3
2.0366,1,4096,7168,BM32BN32BK256W8S3
1.5856,4,7168,2048,BM32BN32BK256W8S3
2.6650,4,2112,7168,BM32BN32BK256W8S3
1.9752,4,4096,7168,BM32BN32BK256W8S3
1.5938,8,7168,2048,BM32BN32BK256W8S3
2.6166,8,2112,7168,BM32BN32BK256W8S3
1.9988,8,4096,7168,BM32BN32BK256W8S3
1.6182,16,7168,2048,BM32BN32BK128W8S3
2.6009,16,2112,7168,BM32BN32BK256W8S3
1.9877,16,4096,7168,BM32BN32BK256W8S3
1.6136,32,7168,2048,BM32BN32BK128W8S3
1.6258,4,7168,16384,BM32BN32BK256W8S3
2.3961,32,2112,7168,BM32BN32BK256W8S3
1.7217,4,7168,18432,BM32BN32BK256W8S3
1.9563,32,4096,7168,BM32BN32BK256W8S3
1.9335,64,7168,2048,BM32BN64BK128W8S3
1.6318,8,7168,16384,BM32BN32BK256W8S3
2.2685,64,2112,7168,BM32BN32BK256W4S3
1.0262,4,36864,7168,BM16BN64BK128W4S3
1.8211,8,7168,18432,BM32BN32BK256W8S3
2.0537,64,4096,7168,BM32BN32BK256W4S3
1.6887,128,7168,2048,BM64BN64BK128W8S3
1.6112,16,7168,16384,BM32BN32BK256W8S3
2.1853,128,2112,7168,BM32BN64BK256W8S3
0.9807,8,36864,7168,BM16BN64BK64W4S3
1.8827,16,7168,18432,BM32BN32BK256W8S3
2.0687,128,4096,7168,BM32BN64BK256W8S3
1.5097,256,7168,2048,BM64BN128BK128W8S3
1.5766,32,7168,16384,BM32BN32BK256W8S3
1.9671,256,2112,7168,BM64BN64BK128W8S3
0.9665,16,36864,7168,BM32BN64BK64W8S3
1.6007,32,7168,18432,BM32BN32BK256W8S3
1.9284,256,4096,7168,BM64BN64BK128W8S3
2.2772,64,7168,16384,BM32BN64BK256W8S3
0.9706,32,36864,7168,BM64BN256BK32W8S3
2.6208,64,7168,18432,BM32BN64BK256W8S3
1.8949,128,7168,16384,BM64BN64BK128W8S3
0.4045,64,36864,7168,BM32BN32BK256W4S3
2.2475,128,7168,18432,BM64BN64BK128W8S3
1.5137,256,7168,16384,BM64BN128BK128W8S3
0.6822,128,36864,7168,BM64BN64BK128W8S3
1.8804,256,7168,18432,BM64BN128BK128W8S3
1.1615,256,36864,7168,BM128BN256BK32W8S3
1.1372,4096,36864,7168,BM256BN256BK32W8S3
2.0828,4,2880,2880,BM32BN32BK256W8S3
2.2961,4,2880,4096,BM32BN32BK256W8S3
1.7000,4,5120,2880,BM32BN32BK256W8S3
1.7973,4,5760,2880,BM32BN32BK256W8S3
2.0824,8,2880,2880,BM32BN32BK256W8S3
2.3052,8,2880,4096,BM32BN32BK256W8S3
1.7018,8,5120,2880,BM32BN32BK256W8S3
1.7812,8,5760,2880,BM32BN32BK256W8S3
2.0796,16,2880,2880,BM32BN32BK256W8S3
2.2878,16,2880,4096,BM32BN32BK256W8S3
1.7186,16,5120,2880,BM32BN32BK256W8S3
1.7895,16,5760,2880,BM32BN32BK256W8S3
2.0396,32,2880,2880,BM32BN32BK256W8S3
2.1922,32,2880,4096,BM32BN32BK256W8S3
1.7326,32,5120,2880,BM32BN32BK128W8S3
1.8144,32,5760,2880,BM32BN32BK128W8S3
1.7294,64,2880,2880,BM32BN32BK256W4S3
1.8293,64,2880,4096,BM32BN32BK256W4S3
2.0384,64,5120,2880,BM32BN64BK128W8S3
1.8052,64,5760,2880,BM32BN64BK128W8S3
1.6900,128,2880,2880,BM32BN64BK256W8S3
1.7412,128,2880,4096,BM32BN64BK256W8S3
1.7738,128,5120,2880,BM64BN64BK128W8S3
1.7297,128,5760,2880,BM64BN64BK128W8S3
1.6644,256,2880,2880,BM64BN64BK128W8S3
1.7623,256,2880,4096,BM64BN64BK128W8S3
1.4836,256,5120,2880,BM64BN128BK128W8S3
1.2965,256,5760,2880,BM64BN128BK128W8S3
1.9096,4,4096,4096,BM32BN32BK256W8S3
1.7062,4,6144,4096,BM32BN32BK256W8S3
1.8802,8,4096,4096,BM32BN32BK256W8S3
1.6841,8,6144,4096,BM32BN32BK256W8S3
1.5910,4,14336,4096,BM16BN64BK64W4S3
2.0766,4,4096,14336,BM32BN32BK256W8S3
1.8644,16,4096,4096,BM32BN32BK256W8S3
1.3139,4,8192,8192,BM32BN32BK256W8S3
2.0880,4,10240,8192,BM16BN64BK128W4S3
1.7051,16,6144,4096,BM32BN32BK256W8S3
1.5913,8,14336,4096,BM16BN64BK64W4S3
2.0830,8,4096,14336,BM32BN32BK256W8S3
1.8265,32,4096,4096,BM32BN32BK256W8S3
1.3365,8,8192,8192,BM32BN32BK256W8S3
1.5310,8,10240,8192,BM16BN64BK64W4S3
1.6835,32,6144,4096,BM32BN32BK256W8S3
1.5954,16,14336,4096,BM32BN64BK64W8S3
2.0724,16,4096,14336,BM32BN32BK256W8S3
1.2832,4,28672,8192,BM16BN128BK128W8S3
1.7987,4,8192,28672,BM32BN32BK256W8S3
1.8933,64,4096,4096,BM32BN32BK256W4S3
1.3317,16,8192,8192,BM32BN32BK256W8S3
1.6129,4,16384,16384,BM16BN64BK256W4S3
1.4839,4,18432,16384,BM16BN128BK128W8S3
1.5715,16,10240,8192,BM32BN64BK64W8S3
2.0577,64,6144,4096,BM32BN64BK128W8S3
1.0791,32,14336,4096,BM32BN32BK256W8S3
2.0118,32,4096,14336,BM32BN32BK256W8S3
1.2730,8,28672,8192,BM16BN128BK128W8S3
1.8228,8,8192,28672,BM32BN32BK256W8S3
1.9796,128,4096,4096,BM32BN64BK256W8S3
1.3471,32,8192,8192,BM32BN32BK256W8S3
1.7295,8,16384,16384,BM16BN64BK128W4S3
1.4763,8,18432,16384,BM16BN128BK128W8S3
1.0142,32,10240,8192,BM32BN32BK256W8S3
1.8418,128,6144,4096,BM64BN64BK128W8S3
1.1238,4,53248,16384,BM16BN256BK64W8S3
1.6138,4,16384,53248,BM16BN64BK256W4S3
1.4765,64,14336,4096,BM32BN128BK64W8S3
2.1965,64,4096,14336,BM32BN32BK256W4S3
1.3843,16,28672,8192,BM32BN128BK64W8S3
1.7707,16,8192,28672,BM32BN32BK256W8S3
1.8462,256,4096,4096,BM64BN64BK128W8S3
2.0651,64,8192,8192,BM32BN64BK128W8S3
1.4371,16,16384,16384,BM32BN64BK64W8S3
1.4501,16,18432,16384,BM32BN128BK128W8S3
0.6464,64,10240,8192,BM32BN32BK256W4S3
1.4914,256,6144,4096,BM64BN128BK128W8S3
1.1189,8,53248,16384,BM16BN256BK64W8S3
1.6021,8,16384,53248,BM16BN64BK256W4S3
1.4547,128,14336,4096,BM64BN128BK64W8S3
2.2083,128,4096,14336,BM32BN64BK256W8S3
0.8969,32,28672,8192,BM64BN128BK32W8S3
1.7468,32,8192,28672,BM32BN32BK256W8S3
1.7745,128,8192,8192,BM64BN64BK128W8S3
0.9607,32,16384,16384,BM32BN32BK256W8S3
1.2920,32,18432,16384,BM64BN128BK64W8S3
1.4837,128,10240,8192,BM64BN128BK64W8S3
1.1461,16,53248,16384,BM16BN256BK64W8S3
1.6066,16,16384,53248,BM32BN64BK256W8S3
1.3962,256,14336,4096,BM128BN128BK64W8S3
1.8469,256,4096,14336,BM64BN64BK128W8S3
0.4106,64,28672,8192,BM32BN32BK256W4S3
1.9456,64,8192,28672,BM32BN64BK256W8S3
1.4324,256,8192,8192,BM64BN128BK128W8S3
1.3638,64,16384,16384,BM32BN128BK128W8S3
0.5078,64,18432,16384,BM32BN32BK256W4S3
1.2599,256,10240,8192,BM128BN128BK64W8S3
1.1121,32,53248,16384,BM64BN256BK64W8S3
0.9496,32,16384,53248,BM32BN32BK256W8S3
1.0076,128,28672,8192,BM64BN256BK64W8S3
1.8972,128,8192,28672,BM64BN64BK128W8S3
1.3740,128,16384,16384,BM64BN128BK64W8S3
0.7755,128,18432,16384,BM64BN64BK128W8S3
0.8196,64,53248,16384,BM128BN256BK32W8S3
1.3686,64,16384,53248,BM32BN128BK128W8S3
0.9008,256,28672,8192,BM128BN256BK32W8S3
1.5914,256,8192,28672,BM64BN128BK128W8S3
1.2432,256,16384,16384,BM128BN128BK64W8S3
0.9579,256,18432,16384,BM128BN256BK32W8S3
0.5052,128,53248,16384,BM64BN64BK128W8S3
1.3137,128,16384,53248,BM64BN128BK128W8S3
0.8294,256,53248,16384,BM128BN256BK32W8S3
1.2440,256,16384,53248,BM128BN128BK64W8S3
1.1605,4096,53248,16384,BM256BN256BK32W8S3
1.1727,4096,16384,53248,BM256BN256BK32W8S3
1.1761,4,28672,4096,BM16BN128BK64W8S3
1.1768,8,28672,4096,BM16BN128BK64W8S3
1.1199,16,28672,4096,BM32BN128BK32W8S3
1.1033,4,57344,8192,BM16BN256BK64W8S3
0.9900,32,28672,4096,BM64BN128BK32W8S3
1.1057,8,57344,8192,BM16BN256BK64W8S3
0.9027,4,106496,16384,BM16BN64BK256W4S3
0.4078,64,28672,4096,BM32BN32BK256W4S3
1.1100,16,57344,8192,BM16BN256BK64W8S3
0.9010,8,106496,16384,BM16BN64BK128W4S3
1.1808,128,28672,4096,BM64BN256BK32W8S3
1.0795,32,57344,8192,BM64BN256BK32W8S3
0.8855,16,106496,16384,BM32BN64BK64W8S3
1.0014,256,28672,4096,BM128BN256BK32W8S3
0.9046,64,57344,8192,BM128BN256BK32W8S3
0.9070,32,106496,16384,BM64BN256BK64W8S3
0.5258,128,57344,8192,BM64BN64BK128W8S3
0.9448,64,106496,16384,BM128BN256BK32W8S3
0.8172,256,57344,8192,BM128BN256BK32W8S3
0.5443,128,106496,16384,BM64BN64BK128W8S3
1.2750,256,106496,16384,BM256BN256BK32W8S3
1.1236,4096,57344,8192,BM256BN256BK32W8S3
1.8127,4,5120,5120,BM32BN32BK256W8S3
1.6156,4,7168,5120,BM32BN32BK256W8S3
1.8434,4,5120,8192,BM32BN32BK256W8S3
1.8158,8,5120,5120,BM32BN32BK256W8S3
1.5757,8,7168,5120,BM32BN32BK256W8S3
1.8689,4,5120,16384,BM32BN32BK256W8S3
1.3429,4,16384,5120,BM16BN64BK64W4S3
1.8434,8,5120,8192,BM32BN32BK256W8S3
1.8173,16,5120,5120,BM32BN32BK256W8S3
1.5826,16,7168,5120,BM32BN32BK256W8S3
1.3311,4,32768,5120,BM16BN128BK64W8S3
1.8816,8,5120,16384,BM32BN32BK256W8S3
1.3772,8,16384,5120,BM16BN64BK64W4S3
1.8455,16,5120,8192,BM32BN32BK256W8S3
1.7929,32,5120,5120,BM32BN32BK256W8S3
1.5559,32,7168,5120,BM32BN32BK256W8S3
1.3148,8,32768,5120,BM16BN128BK64W8S3
1.9086,16,5120,16384,BM32BN32BK256W8S3
1.4304,16,16384,5120,BM32BN64BK64W8S3
1.8131,32,5120,8192,BM32BN32BK256W8S3
2.0473,64,5120,5120,BM32BN64BK128W8S3
2.0590,64,7168,5120,BM32BN64BK128W8S3
1.2200,16,32768,5120,BM32BN128BK32W8S3
1.8537,32,5120,16384,BM32BN32BK256W8S3
0.8527,32,16384,5120,BM32BN32BK256W8S3
2.1696,64,5120,8192,BM32BN64BK128W8S3
1.8396,128,5120,5120,BM64BN64BK128W8S3
1.8343,128,7168,5120,BM64BN64BK128W8S3
1.0230,32,32768,5120,BM64BN128BK32W8S3
2.3071,64,5120,16384,BM32BN64BK256W8S3
1.3783,64,16384,5120,BM32BN128BK64W8S3
1.8805,128,5120,8192,BM64BN64BK128W8S3
1.5504,256,5120,5120,BM64BN128BK128W8S3
1.5148,256,7168,5120,BM64BN128BK128W8S3
1.2052,64,32768,5120,BM32BN256BK64W8S3
1.9280,128,5120,16384,BM64BN64BK128W8S3
1.3464,128,16384,5120,BM64BN128BK64W8S3
1.8244,256,5120,8192,BM64BN128BK128W8S3
1.0073,128,32768,5120,BM64BN256BK32W8S3
1.9551,256,5120,16384,BM64BN128BK128W8S3
1.3027,256,16384,5120,BM128BN128BK64W8S3
0.9309,256,32768,5120,BM128BN256BK32W8S3
1.6940,4,4096,1536,BM32BN32BK256W8S3
1.9646,4,3072,4096,BM32BN32BK256W8S3
1.7041,8,4096,1536,BM32BN32BK256W8S3
1.9982,8,3072,4096,BM32BN32BK256W8S3
1.6309,16,4096,1536,BM32BN32BK128W8S3
2.0000,4,4096,8192,BM32BN32BK256W8S3
1.5618,4,9216,4096,BM16BN64BK64W4S3
1.9718,16,3072,4096,BM32BN32BK256W8S3
1.6221,32,4096,1536,BM32BN32BK128W8S3
2.0034,8,4096,8192,BM32BN32BK256W8S3
1.5511,8,9216,4096,BM16BN64BK64W4S3
1.9235,32,3072,4096,BM32BN32BK256W8S3
1.6534,64,4096,1536,BM32BN32BK256W4S3
1.9764,16,4096,8192,BM32BN32BK256W8S3
1.5916,16,9216,4096,BM32BN64BK64W8S3
1.9859,64,3072,4096,BM32BN32BK256W4S3
1.6177,128,4096,1536,BM32BN64BK256W8S3
