tp,conc,isl,osl,block_m,N,K,swizzle,freq,m_median,pm_cfg,json_cfg,json_in_grid,json_excl_field,pm_est_tflops,json_est_tflops,pm_eq_json
1,128,1024,1024,128,6144,3072,CDNA4_SCALE,3780,18236,128/256/2/8,128/256/2/4,True,,1032.1,774.1,False
1,128,1024,1024,128,3072,3072,CDNA4_SCALE,3780,18236,128/256/2/8,128/256/2/4,True,,959.7,719.8,False
1,128,1024,1024,32,6144,3072,CDNA4_SCALE,9396,4100,128/256/2/4,128/256/2/4,True,,786.5,786.5,True
1,128,1024,1024,32,3072,3072,CDNA4_SCALE,9396,4100,128/256/2/4,128/256/2/4,True,,727.2,727.2,True
1,128,1024,1024,16,5760,2880,CDNA4_SCALE,7488,752,64/512/2/4,64/512/2/4,True,,385.3,385.3,True
1,128,1024,1024,16,2880,2880,CDNA4_SCALE,7488,752,64/512/2/4,64/512/2/4,True,,343.7,343.7,True
1,128,1024,1024,64,6144,3072,CDNA4_SCALE,16380,4460,256/256/2/8,128/256/2/4,True,,1072.3,870.9,False
1,128,1024,1024,64,3072,3072,CDNA4_SCALE,16380,4460,128/256/2/4,128/256/2/4,True,,870.9,870.9,True
1,16,1024,1024,128,6144,3072,CDNA4_SCALE,288,28076,128/256/2/8,128/256/2/4,True,,1010.3,757.7,False
1,16,1024,1024,128,3072,3072,CDNA4_SCALE,288,28076,128/256/2/8,128/256/2/4,True,,1010.3,757.7,False
1,16,1024,1024,32,6144,3072,CDNA4_SCALE,5004,3264,128/256/2/4,128/256/2/4,True,,773.6,773.6,True
1,16,1024,1024,32,3072,3072,CDNA4_SCALE,5004,3264,128/256/2/4,128/256/2/4,True,,773.6,773.6,True
1,16,1024,1024,16,5760,2880,CDNA4_SCALE,7488,752,64/512/2/4,64/512/2/4,True,,385.3,385.3,True
1,16,1024,1024,16,2880,2880,CDNA4_SCALE,7488,752,64/512/2/4,64/512/2/4,True,,343.7,343.7,True
1,16,1024,1024,64,6144,3072,CDNA4_SCALE,36,7764,256/256/2/8,128/256/2/4,True,,1107.0,979.0,False
1,16,1024,1024,64,3072,3072,CDNA4_SCALE,36,7764,128/256/2/4,128/256/2/4,True,,899.1,899.1,True
1,256,1024,1024,128,6144,3072,CDNA4_SCALE,16524,11968,128/256/2/8,128/256/2/4,True,,1001.9,751.4,False
1,256,1024,1024,128,3072,3072,CDNA4_SCALE,16524,11968,128/256/2/8,128/256/2/4,True,,1001.9,751.4,False
1,256,1024,1024,32,6144,3072,CDNA4_SCALE,4500,3136,128/256/2/4,128/256/2/4,True,,791.2,791.2,True
1,256,1024,1024,32,3072,3072,CDNA4_SCALE,4500,3136,128/256/2/4,128/256/2/4,True,,714.1,714.1,True
1,256,1024,1024,16,5760,2880,CDNA4_SCALE,7488,752,64/512/2/4,64/512/2/4,True,,385.3,385.3,True
1,256,1024,1024,16,2880,2880,CDNA4_SCALE,7488,752,64/512/2/4,64/512/2/4,True,,343.7,343.7,True
1,256,1024,1024,64,6144,3072,CDNA4_SCALE,39600,4760,256/256/2/8,128/256/2/4,True,,938.8,867.5,False
1,256,1024,1024,64,3072,3072,CDNA4_SCALE,39600,4760,128/256/2/4,128/256/2/4,True,,762.4,762.4,True
1,32,1024,1024,128,6144,3072,CDNA4_SCALE,504,32768,128/256/2/8,128/256/2/4,True,,1050.5,787.9,False
1,32,1024,1024,128,3072,3072,CDNA4_SCALE,504,32768,128/256/2/8,128/256/2/4,True,,1050.5,787.9,False
1,32,1024,1024,32,6144,3072,CDNA4_SCALE,6048,3488,128/256/2/4,128/256/2/4,True,,801.3,801.3,True
1,32,1024,1024,32,3072,3072,CDNA4_SCALE,6048,3488,128/256/2/4,128/256/2/4,True,,730.1,730.1,True
1,32,1024,1024,16,5760,2880,CDNA4_SCALE,7488,752,64/512/2/4,64/512/2/4,True,,385.3,385.3,True
